Date,Positive Case Count,DOW,New Cases,Cases Last 14 Days,Population,"Cases Per 100,000","Cases Last 14 Days Per 100,000",Location,County,Total Deaths,LTCF Deaths,Non-LTCF Deaths
2020-09-15,428,1,5.0,39.0,78338,546.0,50.0,Alameda,Alameda,,,
2020-09-16,434,2,6.0,42.0,78338,554.0,54.0,Alameda,Alameda,,,
2020-09-17,435,3,1.0,37.0,78338,555.0,47.0,Alameda,Alameda,,,
2020-09-18,436,4,1.0,32.0,78338,557.0,41.0,Alameda,Alameda,,,
2020-09-19,436,5,0.0,30.0,78338,557.0,38.0,Alameda,Alameda,,,
2020-09-20,437,6,1.0,28.0,78338,558.0,36.0,Alameda,Alameda,,,
2020-09-21,441,0,4.0,31.0,78338,563.0,40.0,Alameda,Alameda,,,
2020-09-22,443,1,2.0,32.0,78338,565.0,41.0,Alameda,Alameda,,,
2020-09-23,445,2,2.0,34.0,78338,568.0,43.0,Alameda,Alameda,,,
2020-09-24,448,3,3.0,33.0,78338,572.0,42.0,Alameda,Alameda,,,
2020-09-25,448,4,0.0,30.0,78338,572.0,38.0,Alameda,Alameda,,,
2020-09-26,449,5,1.0,30.0,78338,573.0,38.0,Alameda,Alameda,,,
2020-09-27,451,6,2.0,31.0,78338,576.0,40.0,Alameda,Alameda,,,
2020-09-28,452,0,1.0,29.0,78338,577.0,37.0,Alameda,Alameda,,,
2020-09-29,453,1,1.0,25.0,78338,578.0,32.0,Alameda,Alameda,,,
2020-09-30,455,2,2.0,21.0,78338,581.0,27.0,Alameda,Alameda,,,
2020-10-01,457,3,2.0,22.0,78338,583.0,28.0,Alameda,Alameda,,,
2020-10-02,460,4,3.0,24.0,78338,587.0,31.0,Alameda,Alameda,,,
2020-10-03,461,5,1.0,25.0,78338,588.0,32.0,Alameda,Alameda,,,
2020-10-04,461,6,0.0,24.0,78338,588.0,31.0,Alameda,Alameda,,,
2020-10-05,463,0,2.0,22.0,78338,591.0,28.0,Alameda,Alameda,,,
2020-10-06,464,1,1.0,21.0,78338,592.0,27.0,Alameda,Alameda,,,
2020-10-07,465,2,1.0,20.0,78338,594.0,26.0,Alameda,Alameda,,,
2020-10-08,466,3,1.0,18.0,78338,595.0,23.0,Alameda,Alameda,,,
2020-10-09,470,4,4.0,22.0,78338,600.0,28.0,Alameda,Alameda,,,
2020-10-10,472,5,2.0,23.0,78338,603.0,29.0,Alameda,Alameda,,,
2020-10-11,474,6,2.0,23.0,78338,605.0,29.0,Alameda,Alameda,,,
2020-10-12,476,0,2.0,24.0,78338,608.0,31.0,Alameda,Alameda,,,
2020-10-13,477,1,1.0,24.0,78338,609.0,31.0,Alameda,Alameda,,,
2020-10-14,477,2,0.0,22.0,78338,609.0,28.0,Alameda,Alameda,,,
2020-10-15,478,3,1.0,21.0,78338,610.0,27.0,Alameda,Alameda,,,
2020-10-16,480,4,2.0,20.0,78338,613.0,26.0,Alameda,Alameda,,,
2020-10-17,480,5,0.0,19.0,78338,613.0,24.0,Alameda,Alameda,,,
2020-10-18,480,6,0.0,19.0,78338,613.0,24.0,Alameda,Alameda,,,
2020-10-19,481,0,1.0,18.0,78338,614.0,23.0,Alameda,Alameda,,,
2020-10-20,484,1,3.0,20.0,78338,618.0,26.0,Alameda,Alameda,,,
2020-10-21,487,2,3.0,22.0,78338,622.0,28.0,Alameda,Alameda,,,
2020-10-22,491,3,4.0,25.0,78338,627.0,32.0,Alameda,Alameda,,,
2020-10-23,499,4,8.0,29.0,78338,637.0,37.0,Alameda,Alameda,,,
2020-10-24,501,5,2.0,29.0,78338,640.0,37.0,Alameda,Alameda,,,
2020-10-25,502,6,1.0,28.0,78338,641.0,36.0,Alameda,Alameda,,,
2020-10-26,504,0,2.0,28.0,78338,643.0,36.0,Alameda,Alameda,,,
2020-10-27,510,1,6.0,33.0,78338,651.0,42.0,Alameda,Alameda,,,
2020-10-28,515,2,5.0,38.0,78338,657.0,49.0,Alameda,Alameda,,,
2020-10-29,517,3,2.0,39.0,78338,660.0,50.0,Alameda,Alameda,,,
2020-10-30,520,4,3.0,40.0,78338,664.0,51.0,Alameda,Alameda,,,
2020-10-31,521,5,1.0,41.0,78338,665.0,52.0,Alameda,Alameda,,,
2020-11-01,525,6,4.0,45.0,78338,670.0,57.0,Alameda,Alameda,,,
2020-11-02,530,0,5.0,49.0,78338,677.0,63.0,Alameda,Alameda,,,
2020-11-03,535,1,5.0,51.0,78338,683.0,65.0,Alameda,Alameda,,,
2020-11-04,537,2,2.0,50.0,78338,685.0,64.0,Alameda,Alameda,,,
2020-11-05,543,3,6.0,52.0,78338,693.0,66.0,Alameda,Alameda,,,
2020-11-06,548,4,5.0,49.0,78338,700.0,63.0,Alameda,Alameda,,,
2020-11-07,554,5,6.0,53.0,78338,707.0,68.0,Alameda,Alameda,,,
2020-11-08,559,6,5.0,57.0,78338,714.0,73.0,Alameda,Alameda,,,
2020-11-09,565,0,6.0,61.0,78338,721.0,78.0,Alameda,Alameda,,,
2020-11-10,577,1,12.0,67.0,78338,737.0,86.0,Alameda,Alameda,,,
2020-11-11,583,2,6.0,68.0,78338,744.0,87.0,Alameda,Alameda,,,
2020-11-12,592,3,9.0,75.0,78338,756.0,96.0,Alameda,Alameda,,,
2020-11-13,602,4,10.0,82.0,78338,768.0,105.0,Alameda,Alameda,,,
2020-11-14,609,5,7.0,88.0,78338,777.0,112.0,Alameda,Alameda,,,
2020-11-15,613,6,4.0,88.0,78338,783.0,112.0,Alameda,Alameda,,,
2020-11-16,624,0,11.0,94.0,78338,797.0,120.0,Alameda,Alameda,,,
2020-11-17,631,1,7.0,96.0,78338,805.0,123.0,Alameda,Alameda,,,
2020-11-18,640,2,9.0,103.0,78338,817.0,131.0,Alameda,Alameda,,,
2020-11-19,653,3,13.0,110.0,78338,834.0,140.0,Alameda,Alameda,,,
2020-11-20,658,4,5.0,110.0,78338,840.0,140.0,Alameda,Alameda,,,
2020-11-21,662,5,4.0,108.0,78338,845.0,138.0,Alameda,Alameda,,,
2020-11-22,669,6,7.0,110.0,78338,854.0,140.0,Alameda,Alameda,,,
2020-11-23,681,0,12.0,116.0,78338,869.0,148.0,Alameda,Alameda,,,
2020-11-24,694,1,13.0,117.0,78338,886.0,149.0,Alameda,Alameda,,,
2020-11-25,703,2,9.0,120.0,78338,897.0,153.0,Alameda,Alameda,,,
2020-11-26,707,3,4.0,115.0,78338,902.0,147.0,Alameda,Alameda,,,
2020-11-27,713,4,6.0,111.0,78338,910.0,142.0,Alameda,Alameda,,,
2020-11-28,719,5,6.0,110.0,78338,918.0,140.0,Alameda,Alameda,,,
2020-11-29,727,6,8.0,114.0,78338,928.0,146.0,Alameda,Alameda,,,
2020-11-30,737,0,10.0,113.0,78338,941.0,144.0,Alameda,Alameda,,,
2020-12-01,764,1,27.0,133.0,78338,975.0,170.0,Alameda,Alameda,,,
2020-12-02,786,2,22.0,146.0,78338,1003.0,186.0,Alameda,Alameda,,,
2020-12-03,803,3,17.0,150.0,78338,1025.0,191.0,Alameda,Alameda,,,
2020-12-04,819,4,16.0,161.0,78338,1045.0,206.0,Alameda,Alameda,,,
2020-12-05,836,5,17.0,174.0,78338,1067.0,222.0,Alameda,Alameda,,,
2020-12-06,844,6,8.0,175.0,78338,1077.0,223.0,Alameda,Alameda,,,
2020-12-07,866,0,22.0,185.0,78338,1105.0,236.0,Alameda,Alameda,,,
2020-12-08,879,1,13.0,185.0,78338,1122.0,236.0,Alameda,Alameda,,,
2020-12-09,889,2,10.0,186.0,78338,1135.0,237.0,Alameda,Alameda,,,
2020-12-10,912,3,23.0,205.0,78338,1164.0,262.0,Alameda,Alameda,,,
2020-12-11,928,4,16.0,215.0,78338,1185.0,274.0,Alameda,Alameda,,,
2020-12-12,948,5,20.0,229.0,78338,1210.0,292.0,Alameda,Alameda,,,
2020-12-13,957,6,9.0,230.0,78338,1222.0,294.0,Alameda,Alameda,,,
2020-12-14,981,0,24.0,244.0,78338,1252.0,311.0,Alameda,Alameda,,,
2020-12-15,1005,1,24.0,241.0,78338,1283.0,308.0,Alameda,Alameda,,,
2020-12-16,1037,2,32.0,251.0,78338,1324.0,320.0,Alameda,Alameda,,,
2020-12-17,1059,3,22.0,256.0,78338,1352.0,327.0,Alameda,Alameda,,,
2020-12-18,1073,4,14.0,254.0,78338,1370.0,324.0,Alameda,Alameda,,,
2020-12-19,1087,5,14.0,251.0,78338,1388.0,320.0,Alameda,Alameda,,,
2020-12-20,1094,6,7.0,250.0,78338,1397.0,319.0,Alameda,Alameda,,,
2020-12-21,1113,0,19.0,247.0,78338,1421.0,315.0,Alameda,Alameda,,,
2020-12-22,1131,1,18.0,252.0,78338,1444.0,322.0,Alameda,Alameda,,,
2020-12-23,1156,2,25.0,267.0,78338,1476.0,341.0,Alameda,Alameda,,,
2020-12-24,1174,3,18.0,262.0,78338,1499.0,334.0,Alameda,Alameda,,,
2020-12-25,1188,4,14.0,260.0,78338,1517.0,332.0,Alameda,Alameda,,,
2020-12-26,1226,5,38.0,278.0,78338,1565.0,355.0,Alameda,Alameda,,,
2020-12-27,1241,6,15.0,284.0,78338,1584.0,363.0,Alameda,Alameda,,,
2020-12-28,1269,0,28.0,288.0,78338,1620.0,368.0,Alameda,Alameda,,,
2020-12-29,1316,1,47.0,311.0,78338,1680.0,397.0,Alameda,Alameda,,,
2020-12-30,1350,2,34.0,313.0,78338,1723.0,400.0,Alameda,Alameda,,,
2020-12-31,1374,3,24.0,315.0,78338,1754.0,402.0,Alameda,Alameda,,,
2021-01-01,1401,4,27.0,328.0,78338,1788.0,419.0,Alameda,Alameda,,,
2021-01-02,1422,5,21.0,335.0,78338,1815.0,428.0,Alameda,Alameda,,,
2021-01-03,1442,6,20.0,348.0,78338,1841.0,444.0,Alameda,Alameda,,,
2021-01-04,1512,0,70.0,399.0,78338,1930.0,509.0,Alameda,Alameda,,,
2021-01-05,1561,1,49.0,430.0,78338,1993.0,549.0,Alameda,Alameda,,,
2021-01-06,1610,2,49.0,454.0,78338,2055.0,580.0,Alameda,Alameda,,,
2021-01-07,1661,3,51.0,487.0,78338,2120.0,622.0,Alameda,Alameda,,,
